country,locality,yearCollected,eventID,principalInvestigator,samplingProtocol,sampleCollectionDeviceEvent,collectorList,continentOcean,municipality,county,dayCollected,locationID,locationRemarks,decimalLatitude,decimalLongitude,decimalLatitudeEnd,decimalLongitudeEnd,depthOfBottomInMeters,eventEnteredBy,habitat,environmentalMedium,horizontalDatum,island,islandGroup,waterBody,landowner,verbatimLocality,maximumDepthInMeters,maximumElevationInMeters,verbatimElevation,verbatimEventDate,coordinateUncertaintyInMeters,coordinatePrecision,georeferenceProtocol,microHabitat,minimumDepthInMeters,verbatimDepth,minimumElevationInMeters,monthCollected,permitInformation,eventRemarks,stateProvince,taxTeam,timeOfDay,verbatimLatitude,verbatimLongitude,fundingSource,fieldNotes,substratum,earliestEonOrLowestEonothem,latestEonOrHighestEonotheme,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,geologicalContextID,latestChronometricAge,latestChronometricAgeReferenceSystem,earliestChronometricAge,earliestChronometricAgeReferenceSystem,chronometricAgeID,chronometricAgeProtocol,chronometricAgeUncertaintyMethod,chronometricAgeUncertaintyInYears,verbatimChronometricAge,materialDated,uncalibratedChronometricAge,chronometricAgeDeterminedBy,lithostratigraphicTerms,group,formation,member,bed,culturalContext,culturalOccupationPeriod,culturalRegions,culturalAffiliations,waterTemperatureInDegreesCelsius,waterSurfaceTemperatureInDegreesCelsius,bcid,expeditionCode,projectId
USA,"Santa Monica Bay, Redondo Canyon",2019,DISCO_CollectionID:21244,,Grab - Van Veen,,CLAEMD|R/V La Mer,North Pacific Ocean,,Los Angeles,29,,,33.8316833,-118.4182,,,185,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,,,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21244,LAUOE,44
USA,"Santa Monica Bay, Redondo Canyon",2019,DISCO_CollectionID:21245,,Grab - Van Veen,,CLAEMD|R/V La Mer,North Pacific Ocean,,Los Angeles,29,,,33.8246,-118.443867,,,320,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,,,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21245,LAUOE,44
USA,"Santa Monica Bay, Sta. 7",2019,DISCO_CollectionID:21246,,Grab - Van Veen,,CLAEMD|R/V La Mer,North Pacific Ocean,,Los Angeles,29,,,33.8927,-118.537367,,,60,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,,,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21246,LAUOE,44
USA,"Santa Monica Bay, Sta. FA13",2019,DISCO_CollectionID:21247,,Grab - Van Veen,,CLAEMD|R/V La Mer,North Pacific Ocean,,Los Angeles,29,,,33.9062667,-118.568133,,,80,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,,,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21247,LAUOE,44
USA,"Santa Monica Bay, Marina del Rey",2019,DISCO_CollectionID:21251,,By hand,,Gretchen Lambert|Marie Nydam,North Pacific Ocean,,Los Angeles,26,,,33.982865,-118.452934,,,,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,"concrete floating docks, large mussels",,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019. only ascidians collected.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21251,LAUOE,44
USA,Eureka Oil Rig,2019,DISCO_CollectionID:21252,,SCUBA,,Giant Stride|Gustav Paulay|Greg Jensen|K. Lee|Shawn Wiedrick|Jessica Whelpley,North Pacific Ocean,,Los Angeles,27,,,33.5637667,-118.117067,,,0,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,sessile organisms,,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21252,LAUOE,44
USA,"San Pedro Bay, breakwater, east of elbow of middle wall",2019,DISCO_CollectionID:21253,,SCUBA,,Giant Stride|Gustav Paulay|Greg Jensen|K. Lee|Shawn Wiedrick|Jessica Whelpley,North Pacific Ocean,,Los Angeles,27,,,33.7226333,-118.203583,,,4.88,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,mussels,,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21253,LAUOE,44
USA,"Port of Los Angeles, AltaSea floating dock",2019,DISCO_CollectionID:21258,,By hand,,Megan McCuller,North Pacific Ocean,,Los Angeles,27,,,33.724552,-118.274745,,,,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,"plastic float sides, floating debris and Macrocystis",,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21258,LAUOE,44
USA,"Port of Los Angeles, AltaSea floating dock",2019,DISCO_CollectionID:21259,,By hand,,Adam Wall,North Pacific Ocean,,Los Angeles,27,,,33.724552,-118.274745,,,,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,"night light, 243 um",,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21259,LAUOE,44
USA,Long Beach Peninsula (Bayside) west,2019,DISCO_CollectionID:21300,,By hand,,Shawn Wiedrick,North Pacific Ocean,,Orange County,28,,,33.751661,-118.126882,,,.8,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,sand/mud flat with eel grass,,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21300,LAUOE,44
USA,"Palos Verdes Peninsula, Point Fermin Cove",2019,DISCO_CollectionID:21302,,By hand,,Shawn Wiedrick,North Pacific Ocean,,Los Angeles,28,,,33.709353,-118.299586,,,.8,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,intertidal zone,,,,,,,,,,,,,,,"intertidal, rocky reef, algae mat scrapings on rocks",,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21302,LAUOE,44
USA,"Palos Verdes Peninsula, Point Fermin Cove",2019,DISCO_CollectionID:21303,,By hand,,Shawn Wiedrick,North Pacific Ocean,,Los Angeles,28,,,33.709437,-118.299811,,,,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,intertidal zone,,,,,,,,,,,,,,,"intertidal, under rocks, fish net rubble/sediment",,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21303,LAUOE,44
USA,Alamitos Bay Marina Center,2019,DISCO_CollectionID:21304,,"hand, nets",,Shawn Wiedrick|Greg Jensen|Megan McCuller|Adam Wall|Jessica Whelpley,North Pacific Ocean,,Orange County,29,,,33.745398,-118.114626,,,,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,intertidal zone,,,,,,,,,,,,,,,intertidal,,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21304,LAUOE,44
USA,Long Beach Peninsula,2019,DISCO_CollectionID:21305,,"ghost shrimp pump, net",,Shawn Wiedrick|Greg Jensen|Megan McCuller|Adam Wall|Jessica Whelpley,North Pacific Ocean,,Orange County,29,,,33.75183,-118.127512,,,1.1,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,sand/mud flat,,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21305,LAUOE,44
USA,"San Pedro Bay, Cabrillo Beach inner breakwall",2019,DISCO_CollectionID:21306,,By hand,,Shawn Wiedrick,North Pacific Ocean,,Los Angeles,31,,,33.706513,-118.274373,,,,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,intertidal zone,,,,,,,,,,,,,,,"intertidal, rock wall",,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21306,LAUOE,44
USA,"San Pedro Bay, Cabrillo Beach inner breakwall",2019,DISCO_CollectionID:21307,,By hand,,Shawn Wiedrick,North Pacific Ocean,,Los Angeles,31,,,33.706456,-118.274238,,,,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,intertidal zone,,,,,,,,,,,,,,,"intertidal, rock wall, scraping of mated algae",,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21307,LAUOE,44
USA,"Port of Los Angeles, Cabrillo Beach breakwall",2019,DISCO_CollectionID:21313,,SCUBA,,Wood Consulting Whaler|K. Stolzenbach,North Pacific Ocean,,Los Angeles,29,,,33.7058,-118.26128,,,3,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,"rock wall, large boulders, reef",,,,8,CA SCP S‐191440006‐19209‐001,"L.A. Urban Ocean Expedition 2019. holdfast, algae, various habitats.",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21313,LAUOE,44
USA,"Port of Los Angeles, Cabrillo Beach breakwater, elbow",2019,DISCO_CollectionID:21314,,SCUBA,,Wood Consulting Whaler|K. Stolzenbach,North Pacific Ocean,,Los Angeles,29,,,33.70445,-118.26548,,,3,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,"large boulders, reef",,,,8,CA SCP S‐191440006‐19209‐001,"L.A. Urban Ocean Expedition 2019. holdfast, algae, various habitats.",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21314,LAUOE,44
USA,Olympic II,2019,DISCO_CollectionID:21315,,"SCUBA, hand",,Giant Stride|Gustav Paulay|Kimo Morris|Shawn Wiedrick|E. Morris,North Pacific Ocean,,Los Angeles,30,,,33.6568333,-118.229933,,,21.95,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,wreck and sand,,,,8,CA SCP S‐191440006‐19209‐001,"L.A. Urban Ocean Expedition 2019. 72°F surface, 58°F depth.",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21315,LAUOE,44
USA,"Palos Verdes Peninsula, White Point Vents",2019,DISCO_CollectionID:21316,,"SCUBA, hand, rock hammer",,Giant Stride|Gustav Paulay|Kimo Morris|Shawn Wiedrick,North Pacific Ocean,,Los Angeles,30,,,33.7101167,-118.3183,,,15.24,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,marine subtidal rocky reef biome,,,,,,,,,,,,,,,rock reef,,,,8,CA SCP S‐191440006‐19209‐001,"L.A. Urban Ocean Expedition 2019. 72°F surface, 66°F depth.",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21316,LAUOE,44
USA,"Port of Los Angeles, Cabrillo breakwall (middle) north end",2019,DISCO_CollectionID:21317,,"SCUBA, hand, rock hammer",,Giant Stride|Gustav Paulay|Kimo Morris|Shawn Wiedrick,North Pacific Ocean,,Los Angeles,30,,,33.7112167,-118.241333,,,,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,rock wall,,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21317,LAUOE,44
USA,Los Angeles County (non-precise locality),2019,DISCO_CollectionID:21318,,,,L.A. Urban Ocean Expedition,North Pacific Ocean,,Los Angeles,02,,,33.69,-118.29,,,,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,,,,,9,CA SCP S‐191440006‐19209‐001,"L.A. Urban Ocean Expedition 2019. Specimens attributed to this “locality” were collected during the Los Angeles Urban Ocean Expedition 2019, but through error have lost precise locality information. This location is generic for the entire Expedition.",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21318,LAUOE,44
USA,"Palos Verdes Peninsula, Lunada Bay",2019,DISCO_CollectionID:21319,,"By hand, push net",,Adam Wall,North Pacific Ocean,,Los Angeles,30,,,33.7695,-118.4218,,,,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,intertidal zone,,,,,,,,,,,,,,,"intertidal, mud flat",,,,8,CA SCP S‐191440006‐19209‐001,L.A. Urban Ocean Expedition 2019.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DRX2DISCO_CollectionID:21319,LAUOE,44
USA,Newport Bay,2018,DISCO_CollectionID:21394,,By hand,,Bryce Perog,North Pacific Ocean,,,10,,,32.632409,-117.106034,,,0,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,"mudflat, ARMS",,,,9,SC-3027,"E Street (ES); Tile ES31B. The numbers correspond with the tile replicates that we set out at the sites, and the T or B means the top or bottom of the tile (i.e. GC164B is the site Grand Caribe, tile #164, and I collected the specimen from the bottom of the tile).",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:21394,DISCO,44
USA,Newport Bay,2018,DISCO_CollectionID:21395,,By hand,,Bryce Perog,North Pacific Ocean,,,08,,,32.625109,-117.129037,,,0,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,"sandy beach next to boulder pile, fishing location, ARMS",,,,9,SC-3027,"Grand Caribe (GC); Tiles 91,110, 96, 99. The numbers correspond with the tile replicates that we set out at the sites, and the T or B means the top or bottom of the tile (i.e. GC164B is the site Grand Caribe, tile #164, and I collected the specimen from the bottom of the tile).",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:21395,DISCO,44
USA,Newport Bay,2018,DISCO_CollectionID:21397,,By hand,,Bryce Perog,North Pacific Ocean,,,06,,,33.619284,-117.891889,,,0,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,"mudflat, natural cobble, ARMS",,,,9,SC-3027,"Coney; Tiles 174 and 175. The numbers correspond with the tile replicates that we set out at the sites, and the T or B means the top or bottom of the tile (i.e. GC164B is the site Grand Caribe, tile #164, and I collected the specimen from the bottom of the tile).",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:21397,DISCO,44
USA,Newport Bay,2019,DISCO_CollectionID:21398,,By hand,,Bryce Perog,North Pacific Ocean,,,15,,,33.621893,-117.892211,,,0,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,"mudflat, site of oyster restoration, ARMS",,,,8,SC-3027,"Shellmaker; live samples. Collected and processed live. The numbers correspond with the tile replicates that we set out at the sites, and the T or B means the top or bottom of the tile (i.e. GC164B is the site Grand Caribe, tile #164, and I collected the specimen from the bottom of the tile).",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:21398,DISCO,44
USA,"USA, California, Marin County, Tomales Bay, northend of bay across from Hog Island, boat launch parking lot",2009,DISCO_CollectionID:RW09.016,,By hand,,A. Wall,North Pacific Ocean,,Marin County,9,,,38.2013333,-122.9219,,,,Mike O'Mahoney,intertidal zone,,,,,,,,,,,,,,,"intertidal, from barnacles",,,,1,California SC-004668,type locality of Exosphaeroma amplicauda,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW09.016,DISCO,44
USA,"Pacific, USA, California, Los Angeles County, outside Los Angeles Harbor",2016,DISCO_CollectionID:RW16.031,,Dredge - Biological,,"R/V Yellowfin, L. Harris, J. Wall",North Pacific Ocean,,Los Angeles County,14,,,33.67285,-118.2235,,,,Mike O'Mahoney,,,,,,,,,21.64,,,,,,,,,,,5,SC-004668,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW16.031,DISCO,44
USA,"San Pedro Basin, off Palos Verdes",2016,DISCO_CollectionID:RW16.032,,Trawl - Otter,,"R/V Yellowfin, L. Harris, J. Wall",North Pacific Ocean,,Los Angeles County,14,,,33.6945,-118.338333,,,120.09,Diversity Initiative for the Southern California Ocean project of the Natural History Museum of Los Angeles County,,,,,,,,,,,,,,,,,,,,5,SC-004668,MBPC 16909.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW16.032,DISCO,44
USA,"Pacific, USA, California, Los Angeles County, inside Los Angeles Harbor.",2016,DISCO_CollectionID:RW16.033,,Dredge - Biological,,"R/V Yellowfin, R. Wetzer and N.D. Pentcheff",North Pacific Ocean,,Los Angeles County,14,,,33.7191667,-118.260833,,,,Mike O'Mahoney,,,,,,,,,11.89,,,,,,,,,,,5,SC-004668,"There are photographs of some of the live specimens from this sample, not filed under specimenIDs, but available under “event” photography from the 2016-15-14-Kimo-Cruise. not MBPC 16910-that is bogus 24Jan2018rw",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW16.033,DISCO,44
USA,"Eastern Pacific, USA, California, Los Angeles County, Malibu, Malibu Pier",2016,DISCO_CollectionID:RW16.036,,SCUBA - Scraper,,R. Wetzer and N.D. Pentcheff,North Pacific Ocean,,Los Angeles County,16,,,34.036982,-118.676499,,,,Mike O'Mahoney,,,,,,,,,6.1,,,,,,,"pier pilings, ca. 175 m from shore",,,,5,SC-004668,"accessed pilings from LA Co. Fire Dept. ladder below life boat; mostly Chaetopterous tubes, serpulorbids (Thylacodes squamigerus), bryzoans, no mussels. For NHM/NPS BioBlitz with 4th graders.",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW16.036,DISCO,44
USA,"Eastern Pacific, USA, California, Los Angeles County, Malibu, Malibu Pier",2016,DISCO_CollectionID:RW16.037,,SCUBA - Scraper,,R. Wetzer and N.D. Pentcheff,North Pacific Ocean,,Los Angeles County,19,,,34.036982,-118.676499,,,,Mike O'Mahoney,,,,,,,,,6.1,,,,,,,"pier pilings, ca. 175 m from shore",,,,5,SC-004668,"accessed pilings from LA Co. Fire Dept. ladder below life boat; mostly Chaetopterous tubes, serpulorbids (Thylacodes squamigerus), bryzoans, 1 Pisaster. For NHM/NPS BioBlitz with 4th graders.",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW16.037,DISCO,44
USA,"Eastern Pacific, USA, California, Los Angeles County, San Pedro, White Point",2016,DISCO_CollectionID:RW16.051,,By hand,,"A. Wall, J. Wall, K. Omura, N.D. Pentcheff, L. Harris",North Pacific Ocean,,Los Angeles County,23,,,33.71534,-118.31976,,,,Mike O'Mahoney,intertidal zone,,,,,,,,,,,,,,,rocky intertidal,,,,6,SC-004668,record created by J. Wall,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW16.051,DISCO,44
USA,"Eastern Pacific, USA, California, Los Angeles County, San Pedro, Inner Cabrillo Beach",2016,DISCO_CollectionID:RW16.053,,Seine,,N.D. Pentcheff,North Pacific Ocean,,Los Angeles County,24,,,33.711944,-118.282827,,,,Mike O'Mahoney,,,,,,,,,0.33,,,,,,,from Northern Anchovy,,,,6,SC-004668,"Station 1, MBPC 16920",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW16.053,DISCO,44
USA,"Eastern Pacific, USA, California, Los Angeles County, San Pedro, Inner Cabrillo Beach",2016,DISCO_CollectionID:RW16.054,,Seine,,N.D. Pentcheff,North Pacific Ocean,,Los Angeles County,24,,,33.711426,-118.28278,,,,Mike O'Mahoney,,,,,,,,,0.33,,,,,,,,,,,6,SC-004668,"Station 2, MBPC 16921; National Park Service / Santa Monica Mtns. Fund.",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW16.054,DISCO,44
USA,"Eastern Pacific, USA, California, Los Angeles County, Redondo Beach, King Harbor",2016,DISCO_CollectionID:RW16.056,,Scraper - Hand,,"ARIP2016: I. Lee, G. Kim, J. Jang, J. Lee, G. Bae, E. Nam, Y. Lee; R. Wetzer, N.D. Pentcheff, A. Wall, K. Balakahovsky",North Pacific Ocean,,Los Angeles County,19,,,33.84217,-118.391554,,,,Mike O'Mahoney,,,,,,,,,0.3,,,,,,,floating dock,,,,7,SC-004668,National Park Service / Santa Monica Mtns. Fund.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW16.056,DISCO,44
USA,"USA, California, Los Angeles County, Palos Verdes Peninsula, Pt. Fermin",2016,DISCO_CollectionID:RW16.058,,Net - Hand - 240 µm mesh,,"ARIP2016: I. Lee, G. Kim, J. Jang, J. Lee, G. Bae, E. Nam, Y. Lee; R. Wetzer, N.D. Pentcheff, A. Wall, K. Omura",North Pacific Ocean,,Los Angeles County,22,,,33.7097333,-118.299717,,,,Mike O'Mahoney,,,,,,,,,,,,,,,,algae and seagrass,,,,7,SC-004668,low tide,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW16.058,DISCO,44
USA,"USA, California, Los Angeles County, Redondo Beach, King Harbor, Redondo Beach Marina, Basin III",2016,DISCO_CollectionID:RW16.059,,Scraper - Hand,,"L. Harris, R. Smart, M. Ordeñana, L. Higgins",North Pacific Ocean,,Los Angeles County,13,,,33.8422556,-118.391628,,,,Mike O'Mahoney,,,,,,,,,,,,,,,,side of floating docks,,,,7,SC-004668,National Park Service / Santa Monica Mtns. Fund. Coordinates approximated from Google Earth,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW16.059,DISCO,44
USA,"California, Los Angeles County, Port of Los Angeles, San Pedro Marina",2016,DISCO_CollectionID:RW16.063,,By hand,,"L. Harris, R.Wetzer, N.D. Pentcheff",North Pacific Ocean,,Los Angeles County,8,,,33.736,-118.278,,,,Mike O'Mahoney,,,,,,,,,0,,,,,,,floating docks and hanging ropes/cables,,,,9,SC-004668,Unsorted amphipods on loan to Todd Haney 24Feb2017.,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW16.063,DISCO,44
USA,"California, Los Angeles County, San Pedro, Inner Cabrillo Beach",2016,DISCO_CollectionID:RW16.293,,"Seine, By hand, and Dip Net",,"R. Wetzer, L. Harris, N.D. Pentcheff",North Pacific Ocean,,Los Angeles County,13,,,33.711,-118.283,,,,Mike O'Mahoney,,,,,,,,,0.3,,,,,,,"sand, Ulva, and various other algae, under rocks",,,,10,SC-004668,"Station 1, 2, 3, MBPC 17657",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW16.293,DISCO,44
USA,"Eastern Pacific, USA, California, Los Angeles County, San Pedro, Salinas de San Pedro",2016,DISCO_CollectionID:RW16.318,,"Core - Box 0-20 cm, Sieve, and Scrapings from pilings.",,"L. Harris, T. Villalobos, I. Molina",North Pacific Ocean,,Los Angeles County,15,,,33.714,-118.285,,,,Mike O'Mahoney,,,,,,,,,,,,,,,,salt marsh mud flat,,,,11,SC-004668,"National Park Service / Santa Monica Mtns. Fund. Cabrillo Salt Marsh Survey. MPBC 17839 and MPBC 17840 were deleted because they were duplicates-rw12/31/2017. Alpheids, bubble shells, bryozoans, limpets, barnacles on loan to Todd Haney 24Feb2017.",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cnh2DISCO_CollectionID:RW16.318,DISCO,44
