country,locality,yearCollected,eventID,principalInvestigator,samplingProtocol,sampleCollectionDeviceEvent,collectorList,continentOcean,municipality,county,dayCollected,locationID,locationRemarks,decimalLatitude,decimalLongitude,decimalLatitudeEnd,decimalLongitudeEnd,depthOfBottomInMeters,eventEnteredBy,habitat,environmentalMedium,horizontalDatum,island,islandGroup,waterBody,landowner,verbatimLocality,maximumDepthInMeters,maximumElevationInMeters,verbatimElevation,verbatimEventDate,coordinateUncertaintyInMeters,coordinatePrecision,georeferenceProtocol,microHabitat,minimumDepthInMeters,verbatimDepth,minimumElevationInMeters,monthCollected,permitInformation,eventRemarks,stateProvince,taxTeam,timeOfDay,verbatimLatitude,verbatimLongitude,fundingSource,fieldNotes,substratum,earliestEonOrLowestEonothem,latestEonOrHighestEonotheme,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,geologicalContextID,latestChronometricAge,latestChronometricAgeReferenceSystem,earliestChronometricAge,earliestChronometricAgeReferenceSystem,chronometricAgeID,chronometricAgeProtocol,chronometricAgeUncertaintyMethod,chronometricAgeUncertaintyInYears,verbatimChronometricAge,materialDated,uncalibratedChronometricAge,chronometricAgeDeterminedBy,lithostratigraphicTerms,group,formation,member,bed,culturalContext,culturalOccupationPeriod,culturalRegions,culturalAffiliations,waterTemperatureInDegreesCelsius,waterSurfaceTemperatureInDegreesCelsius,bcid,expeditionCode,projectId
Indonesia,Alam Kotok,2005,026856a08c14b4ea7706ae5d09611fca,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,28,,,-5.69965,106.5381167,,,,,,,,Alam Kotok,Pulau_Seribu,,,,20,,,,500,,GPS,,0,,,3,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd2026856a08c14b4ea7706ae5d09611fca,linlae_COI_EC,1
Portugal,Algarve,2018,0281808cc9de58ac020051de53bdc218,Pierre-Alexandre GAGNAIRE,Scientific tuna trap,,Lechuga,North-East Atlantic Ocean,Olhao,,18,Fa,Collected by IPMA,36.94126,-7.80229,,,,PAG,marine pelagic biome,,,,,,,,,,,,100000,,,NA,,,,10,NA,,,,,,,ANR-17-CE02-0006-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dhs20281808cc9de58ac020051de53bdc218,CoGeDiv_Genetic_Diversity_Barry_et_al_2021,357
Indonesia,Sebuku1,2005,028197ce7f8063ea3354bfdb9dafa6b3,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,26,,,-5.879666666,105.5338167,,,,,,,,Sebuku,Krakatau,,,,20,,,,500,,GPS,,0,,,3,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd2028197ce7f8063ea3354bfdb9dafa6b3,linlae_COI_EC,1
Australia,Lihou Reef,2008,0293d7ef98facad27f2ed438e3b31a97,Cynthia Riginos,tissue,,Treml,,,,10,,,-17.40328333,151.8992167,,,,,,,,,,,,,4,,,,,,GPS,,4,,,12,AU-COM2008042; Australian Government,1cm long,Coral Sea,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BLg20293d7ef98facad27f2ed438e3b31a97,halhor_CR_ll,1
Indonesia,Pulau Lemon,2005,0295f0274835308801334ae326f48d07,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,8,,,-0.890116679,134.08165,,,,,,,,Pulau Lemon,,,,,20,,,,500,,GPS,,0,,,9,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0339076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd20295f0274835308801334ae326f48d07,linlae_COI_EC,1
Indonesia,Manado - Murex House Reef,Unknown,02b2fd4a54696769d62dda39c3dacb5f,Paul Barber,"""Obstruct operculum from closing, place in 95% EtOH""",,Eric Crandall,,,,,,,1.4572,124.76225,,,,,Intertidal,,,Sulawesi,,,,,1,4,,,500,,GPS,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2077,,,,,,,DEB-0508788; DEB-0338566; OCE 0349177; IBN-0416713; OCE-06_23699; Lerner-Grey Fund; Conchologists of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BRd202b2fd4a54696769d62dda39c3dacb5f,nerpli_CO1_EC,1
Vietnam,Sesan,2016,02bd3f7b51bdb6e448a843230437c772,Kent E. Carpenter & Binh Thuy Dang,,,,,,,6,,,13.542424,106.054279,,,,,,,,,,,,,,,,,15000,,Approximated from Google Maps,,,,,12,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Chy202bd3f7b51bdb6e448a843230437c772,MEKONG,89
Indonesia,Halmahera,2005,02ed36ca87a31f5fa7ca8acb33274192,Paul Barber,,,,,,,,,,0.730142,128.449745,,,,,,,,Kararorika Island,,,,,,,,,500000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2066,,North Maluku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVE202ed36ca87a31f5fa7ca8acb33274192,Sialae_COI_PB,1
Indonesia,Tanjung Jerewai,2005,02f34ecd18951afbcf89f80f96931143,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,30,,,1.520216667,128.7004,,,,,,,,Halmahera,,,,,20,,,,500,,GPS,,0,,,5,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0339003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd202f34ecd18951afbcf89f80f96931143,linlae_COI_EC,1
Indonesia,West Tip of Serui,2005,02f68315733500d5af3e5e35b07d270b,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,6,,,-1.905283366,136.2275333,,,,,,,,Yapen,,,,,20,,,,500,,GPS,,0,,,4,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd202f68315733500d5af3e5e35b07d270b,linlae_COI_EC,1
Philippines,"""Lucero, Santiago Is., Bolinao""",2008,03060876bf581cede66292e7f3f0d5d3,Marie Antonette Menez,,,,,,,11,,,16.4,119.91,,,,,Seagrass,,,,,,,,,,,,10000,,,,,,,11,"""Collected under gratuitous permit from BFAR to ODU and UPMSI, amended October 2, 2008""",,Pangasinan,,,,,CT-PIRE: OISE-0730256; DOST-ASTHRDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BWg203060876bf581cede66292e7f3f0d5d3,Trigra_CO1_ic,1
